名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
左安浦园,东城,左安门,2室1厅,东,51.5,6450,125
海淀大街25号,海淀,苏州桥,1室1厅,东,54.5,6500,119
大广公寓,,,3室1厅,,10.25,2400,234
清华园,海淀,五道口,2室1厅,东,36.5,8700,238
海淀南路36号,海淀,苏州桥,1室1厅,西北,43.0,8100,188
青年公寓,海淀,皂君庙,1室1厅,北,46.5,6500,139
自隅青年公寓,,,,,13.5,4950,366
文晟家园北里,海淀,西三旗,1室1厅,南,28.5,6400,224
远洋风景,海淀,小西天,2室1厅,东/西,34.0,8500,250
富力桃园C区,海淀,西三旗,2室1厅,南/北,45.5,6600,145
城家公寓,,,,,10.0,5050,505
知春东里,海淀,双榆树,2室1厅,南,21.5,7500,348
魔方公寓,,,1室1厅,,12.5,6100,488
翠微南里,海淀,公主坟,2室1厅,东/南,54.5,6200,113
沁春家园,海淀,西三旗,2室1厅,南/北,59.5,6300,105
核二院,海淀,定慧寺,2室1厅,南/北,33.5,6500,194
高第小区,海淀,甘家口,2室1厅,南/北,54.0,6800,125
逸成东苑,海淀,学院路,3室1厅,西南,44.5,10000,224
甘家口小区,海淀,甘家口,2室1厅,南/北,41.5,7100,171
建欣苑一里,丰台,大红门,2室1厅,东/西,66.5,5300,79
羊坊花园,丰台,科技园区,1室1厅,南,71.0,4160,58
天伦锦城,丰台,花乡,2室1厅,东,76.0,5600,73
融寓,,,,,44.5,5550,124
中海苏黎世家,丰台,科技园区,1室1厅,东,30.0,6000,200
恒寓星光店,,,1室1厅,,37.5,3960,105
芳群园四区,丰台,方庄,1室1厅,南/北,64.5,5000,77
恒寓星光店,,,LOFT一居室,,33.0,3951,119
南庭新苑南区,丰台,新宫,1室1厅,西,26.0,4200,161
北欧印象,西城,马连道,1室1厅,西,23.0,4800,208
马甸南村,西城,马甸,1室1厅,东,31.5,6990,221
六铺炕一区,西城,六铺炕,2室1厅,南,26.0,7000,269
城家公寓,,,,,24.0,4700,195
新安南里,西城,右安门内,1室1厅,南,16.5,5200,315
北京尊府,西城,金融街,1室1厅,西,37.5,13000,346
新康街甲一号,西城,马甸,2室1厅,南,25.5,6500,254
椿树园,西城,宣武门,1室1厅,西,24.0,7190,299
裕中东里,西城,马甸,2室1厅,南/北,57.0,6790,119
西绒线,西城,西单,1室1厅,东,33.5,9260,276
柳巷15号院,西城,官园,3室1厅,南/北,76.0,13900,182
西便门内大街79号院,西城,长椿街,2室1厅,南,54.5,9130,167
新翠景园,通州,九棵树(家乐福),2室1厅,南/北,46.5,3500,75
珠江丽景家园,通州,潞苑,2室1厅,南,60.0,4630,77
格瑞雅居,通州,九棵树(家乐福),2室1厅,南/北,50.0,5400,108
柚米寓,,,1室1厅,,12.5,2058,164
华业东方玫瑰A区,通州,临河里,3室1厅,南,77.5,4900,63
柚米寓,,,1室1厅,,12.5,2258,180
朗芳园二区,通州,通州其它,1室1厅,南,46.0,3300,71
柚米寓,,,1室1厅,,12.5,2053,164
翠屏北里西区,通州,果园,2室1厅,南/北,48.0,4800,100
柚米寓,,,1室1厅,,12.5,2053,164
北人家园,通州,万达,2室1厅,东,42.5,4200,98
柚米寓,,,1室1厅,,12.5,2083,166
延静里中街3号院,朝阳,红庙,2室1厅,西南,86.5,8100,93
呼家楼新苑,朝阳,红庙,2室1厅,南,72.0,7190,99
瞰都国际,朝阳,朝阳公园,3室2厅,东南,58.5,9900,169
德彩创意公寓,,,,,12.5,6000,480
水郡长安,朝阳,双桥,3室2厅,,91.0,9400,103
朗诗寓,,,春光熙苑精致一居室,,27.5,7676,279
建工家园,朝阳,十里河,2室1厅,南,82.0,7200,87
冠寓,,,,,11.5,4900,426
慧忠里C区,朝阳,亚运村,1室1厅,南/北,37.5,5500,146
ZOME己美,,,1室1厅,,9.0,1900,211
青秀雅苑,丰台,玉泉营,1室1厅,南,36.0,5000,138
ZOME己美,,,,,14.0,3030,216
建邦华府,丰台,刘家窑,4室2厅,南/北,101.5,15000,147
ZOME己美,,,,,9.0,1800,200
西罗园三区,丰台,西罗园,3室1厅,南,49.0,6900,140
南三环中路71号院,丰台,洋桥,2室1厅,南,38.5,4850,125
西罗园南里,丰台,西罗园,2室1厅,南/北,32.5,4700,144
冠寓,,,,,18.5,5142,277
远洋自然,丰台,大红门,2室2厅,南/北,62.0,8300,133
京城雅苑,丰台,卢沟桥,1室1厅,南,32.5,4000,123
南庭新苑北区,丰台,新宫,1室1厅,西,25.0,4300,172
恒寓星光店,,,1室1厅,,31.5,3501,111
圣淘沙,丰台,木樨园,2室1厅,南,90.5,7000,77
恒寓星光店,,,3室1厅,,52.75,5490,104
远中悦麒,丰台,木樨园,1室1厅,东,31.0,5300,170
城家公寓,,,1室1厅,,47.5,4050,85
中堂,丰台,岳各庄,1室0厅,南,12.5,3500,280
冠寓,,,,,14.0,3999,285
广安﹒康馨家园,丰台,青塔,2室1厅,南,35.0,5200,148
南顶村,丰台,赵公口,2室1厅,南/北,46.0,4300,93
阜成门南大街,西城,月坛,1室1厅,东,35.0,6500,185
白云观,西城,木樨地,2室1厅,东,57.0,7630,133
德胜佳苑,西城,德胜门,2室2厅,南/北,45.0,16000,355
西城晶华,西城,金融街,1室1厅,东,47.0,11000,234
考拉社区,西城,菜户营,1室0厅,东,31.5,4900,155
马连道中里,西城,马连道,2室1厅,西,32.0,6560,205
裕中西里,西城,马甸,1室1厅,南,21.5,6500,302
白云观,西城,木樨地,2室1厅,南,25.0,6000,240
教场口6号院,西城,六铺炕,1室1厅,东,74.5,6700,89
东经路98号,西城,陶然亭,3室2厅,南,84.5,15830,187
文联宿舍,西城,马甸,2室1厅,东南,36.5,10000,273
马连道中里,西城,马连道,2室1厅,西南,28.5,6490,227
西直门南大街东区,西城,官园,3室1厅,西北,81.0,13500,166
六铺炕二区,西城,六铺炕,2室1厅,南,53.5,9160,171
德外大街12号院,西城,六铺炕,2室1厅,北,23.5,7900,336
万明园,西城,月坛,1室1厅,南,36.0,7944,220
铁二区,西城,月坛,2室1厅,南,65.0,8300,127
城家公寓,,,,,24.0,5050,210
华业东方玫瑰C区,通州,临河里,2室1厅,南,95.0,5300,55
城家公寓,,,,,15.25,3225,211
运河湾北区,通州,武夷花园,2室1厅,南,44.0,5400,122
旗舰凯旋一期,通州,九棵树(家乐福),2室1厅,南/北,78.0,4600,58
亦庄橡树湾,通州,马驹桥,3室1厅,南/北,47.0,5500,117
魔方公寓,,,1室1厅,,11.25,3270,290
珠江逸景,通州,马驹桥,2室1厅,西北,48.0,3800,79
金融街武夷·融御（二期）,通州,武夷花园,3室1厅,南/北,50.0,8000,160
北苑135号院,通州,通州北苑,2室1厅,南/北,31.0,3800,122
魔方公寓,,,1室1厅,,10.0,3280,328
珠江拉维小镇,通州,潞苑,2室1厅,南,47.5,4000,84
新光大中心,通州,北关,1室1厅,北,97.0,11000,113
新通国际花园,通州,梨园,1室1厅,南,33.0,4500,136
通瑞嘉苑,通州,潞苑,2室1厅,东/西,51.5,3600,69
通景园,通州,九棵树(家乐福),2室1厅,东/南,44.5,5200,116
通州富力中心A,通州,武夷花园,3室1厅,南,96.0,8700,90
华业东方玫瑰B区,通州,临河里,2室1厅,南/北,45.5,4700,103
通瑞嘉苑西区,通州,潞苑,2室1厅,西,69.5,3800,54
冠寓,,,,,11.5,4353,378
恒大江湾,朝阳,东坝,2室1厅,南/北,36.5,6100,167
城家公寓,,,,,12.5,3400,272
华龙美树,朝阳,管庄,1室0厅,北,30.5,4000,131
城家公寓,,,,,20.75,4850,233
花家地小区,朝阳,望京,2室1厅,南,25.0,5500,220
广渠门外大街路北区,朝阳,双井,1室1厅,南,35.5,4500,126
万象新天四区,朝阳,常营,2室1厅,南,47.0,7300,155
城家公寓,,,1室1厅,,18.0,4100,227
慧忠里C区,朝阳,亚运村,1室1厅,南,47.0,5700,121
汇景苑二区,朝阳,东坝,2室1厅,南,43.0,5300,123
京师园,朝阳,奥林匹克公园,3室2厅,南/北,63.0,11000,174
城家公寓,,,,,50.25,5175,102
乐成豪丽,朝阳,大望路,1室1厅,东,82.5,9800,118
城家公寓,,,,,24.5,4850,197
驼房营南里,朝阳,酒仙桥,2室1厅,东/西,49.0,6200,126
城家公寓,,,,,35.0,4850,138
华远九都汇,朝阳,燕莎,3房间,西北,86.5,15500,179
城家公寓,,,,,19.75,3725,188
方丹苑,朝阳,潘家园,2室1厅,东北,44.5,8000,179
冠寓,,,,,12.0,5185,432
通泰国际公馆,亦庄开发区,亦庄,1室0厅,南,26.5,4300,162
通泰国际公馆,亦庄开发区,亦庄,1室1厅,南,26.5,4712,177
上海沙龙,亦庄开发区,亦庄,2室1厅,南/北,88.5,5900,66
华润置地·有巢公馆,,,,,42.0,4550,108
林肯公园A区,亦庄开发区,亦庄,3房间,北,94.0,9100,96
华润置地·有巢公馆,,,温馨一居室,,20.25,4077,201
枫丹壹号,亦庄开发区,亦庄开发区其它,4室2厅,南/北,60.5,10500,173
华润置地·有巢公馆,,,1室1厅,,45.5,4686,102
秋盛居,亦庄开发区,亦庄,1室1厅,南,33.5,5500,164
蜂客公寓,,,,,15.0,2800,186
新康家园,亦庄开发区,亦庄,2室2厅,南/北,79.0,6200,78
蜂客公寓,,,,,15.0,3155,210
檀营国际生态城北区,密云,鼓楼街道,2室1厅,南/北,71.0,1700,23
云秀花园,密云,鼓楼街道,1室1厅,南/北,60.5,1800,29
国际花都,密云,密云其它,1室1厅,南/北,53.5,2000,37
果园西里,密云,果园街道,3室1厅,南/北,52.0,1500,28
海怡庄园东区,密云,密云镇,1室1厅,东/西,63.0,2100,33
檀营国际生态城北区,密云,鼓楼街道,2室1厅,南/北,69.0,1400,20
阳光水岸家园,密云,果园街道,1室1厅,南,32.5,1800,55
久润花园东区,密云,鼓楼街道,3室2厅,南/北,70.5,1800,25
学府花园,密云,密云镇,3室2厅,南/北,77.0,2600,33
彼岸香醍,密云,溪翁庄镇,3室2厅,南/北,108.0,6800,62
阳光城溪山悦,密云,溪翁庄镇,2室1厅,南/北,84.0,2000,23
檀营国际生态城北区,密云,鼓楼街道,2室1厅,南/北,47.0,1600,34
鹊巢公寓,密云,密云镇,1室1厅,南,20.5,2000,97
国际花都,密云,密云其它,1室1厅,南,63.0,2000,31
长景新园,房山,长阳,1室1厅,南,27.5,3400,123
世茂维拉左右间,房山,长阳,2房间,西,31.0,2890,93
北京时代广场,房山,良乡,1室1厅,西北,22.5,2730,121
中海友里公寓,,,,,21.75,2400,110
邑上公馆,房山,长阳,2室2厅,南/北,47.5,4000,84
北京时代广场,房山,良乡,1室1厅,西北,42.0,2990,71
绿湾星苑,房山,良乡,2室1厅,,80.0,3150,39
首开熙悦睿府书香,房山,良乡,2房间,西,53.0,3360,63
恒大滨河左岸,房山,良乡,2室1厅,东,40.5,3450,85
房山超级蜂巢,房山,良乡,2房间,东,20.0,3090,154
天恒乐活城,房山,阎村,2室2厅,南/北,83.5,2900,34
首创紫悦台,房山,良乡,2房间,北,13.5,3060,226
瑞雪春堂,房山,良乡,1室0厅,南,53.0,2800,52
枫丹壹号,亦庄开发区,亦庄开发区其它,3室1厅,南,60.5,10000,165
蜂客公寓,,,1室1厅,,15.0,2900,193
北京经开汀塘,亦庄开发区,通州其它,3室2厅,南/北,73.0,7500,102
荣京丽都,亦庄开发区,亦庄,3房间,南,76.0,4600,60
听涛雅苑,亦庄开发区,亦庄,3室1厅,南/北,60.5,7800,128
蜂客公寓,,,,,14.5,3400,234
力宝广场,亦庄开发区,亦庄,2房间,南,36.0,4800,133
星岛嘉园,亦庄开发区,亦庄,2室2厅,南,94.0,8300,88
林肯公寓,亦庄开发区,亦庄,6房间,西南,51.0,12000,235
蜂客公寓,,,,京东方,20.0,3145,157
郁金香舍,亦庄开发区,亦庄,3室1厅,南/北,64.0,7500,117
蜂客公寓,,,1室1厅,,20.0,3215,160
莱茵河畔,亦庄开发区,亦庄,3室2厅,南/北,110.5,7500,67
